Polska;King;2005-01-21;10777;224.0
Polska;Sowiński;2005-01-01;10791;1829.76
Polska;Sowiński;2005-01-02;10794;314.76
Polska;King;2005-01-05;10797;420.0
Polska;Dudek;2005-01-05;10799;1553.5
Polska;Sowiński;2005-01-07;10804;2278.4
Polska;King;2005-01-07;10809;140.0
Polska;Kowalski;2005-01-12;10812;1692.8
Polska;King;2005-01-12;10818;833.0
Polska;Sowiński;2005-01-16;10822;237.9
Polska;Kowalski;2005-01-13;10823;2826.0
Polska;Sowiński;2005-02-06;10826;730.0
Polska;Dudek;2005-02-04;10828;932.0
Polska;Dudek;2005-01-23;10829;1764.0
Polska;Sowiński;2005-01-23;10833;906.93
Polska;King;2005-01-21;10836;4705.5
Polska;Dudek;2005-01-23;10837;1064.5
Polska;Kowalski;2005-01-29;10841;4581.0
Polska;King;2005-01-29;10848;931.5
Polska;Dudek;2005-01-30;10849;967.82
Polska;Kowalski;2005-02-02;10851;2603.0
Polska;Dudek;2005-02-03;10853;625.0
Polska;Kowalski;2005-02-12;10866;1096.2
Polska;Sowiński;2005-02-11;10867;98.4
Polska;King;2005-02-23;10868;1920.6
Polska;Kowalski;2005-02-09;10869;1630.0
Polska;Kowalski;2005-02-13;10870;160.0
Polska;Dudek;2005-02-10;10871;1979.23
Polska;Kowalski;2005-02-09;10872;2058.46
Polska;Kowalski;2005-02-11;10874;310.0
Polska;King;2005-02-12;10876;917.0
Polska;King;2005-02-18;10880;1500.0
Polska;Sowiński;2005-02-18;10885;1209.0
Polska;Dudek;2005-02-23;10889;11380.0
Polska;King;2005-02-18;10890;860.1
Polska;King;2005-02-19;10891;368.93
Polska;Dudek;2005-02-20;10893;5502.11
Polska;King;2005-02-27;10896;750.5
Polska;Kowalski;2005-02-26;10899;122.4
Polska;Dudek;2005-03-06;10905;342.0
Polska;Sowiński;2005-02-27;10907;108.5
Polska;Sowiński;2005-03-02;10914;537.5
Polska;Kowalski;2005-03-05;10922;742.5
Polska;King;2005-03-13;10923;748.8
Polska;Sowiński;2005-03-12;10929;1174.75
Polska;Sowiński;2005-03-16;10933;920.6
Polska;King;2005-03-13;10937;644.8
Polska;King;2005-03-20;10941;4011.75
Polska;Dudek;2005-03-18;10942;560.0
Polska;Sowiński;2005-03-13;10944;1025.33
Polska;Dudek;2005-04-07;10951;458.74
Polska;Dudek;2005-03-25;10953;4441.25
Polska;Kowalski;2005-03-20;10954;1659.53
Polska;Sowiński;2005-03-20;10956;677.0
Polska;King;2005-03-27;10958;781.0
Polska;Sowiński;2005-03-23;10959;131.75
Polska;Dudek;2005-03-26;10963;57.8
Polska;Sowiński;2005-03-30;10965;848.0
Polska;Dudek;2005-04-24;10970;224.0
Polska;Sowiński;2005-03-27;10973;291.55
Polska;Dudek;2005-04-23;10978;1303.19
Polska;King;2005-04-10;10993;4895.44
Polska;Sowiński;2005-04-10;10999;1197.95
Polska;Dudek;2005-04-13;11016;491.5
Polska;Dudek;2005-04-20;11017;6750.0
Polska;Sowiński;2005-04-24;11025;270.0
Polska;King;2005-04-27;11030;12615.05
Polska;Sowiński;2005-04-24;11031;2393.5
Polska;King;2005-04-23;11033;3232.8
Polska;King;2005-04-27;11037;60.0
Polska;Kowalski;2005-04-29;11043;210.0
Polska;King;2005-05-01;11047;817.87
Polska;King;2005-04-30;11048;525.0
